agency,custom,price,task,title
"张工教育,认证",69人最近报名,免费,共11节,一级注册建筑师公开课
启程学院,3132人购买,¥5577.22,随到随学,框剪商住综合体预算-土建工程造价案例实操【启程学院】
"涵品教育,认证",355人最近报名,免费,共1节,PS/PS教程/摄影后期/人像精修/影楼 海景 调色/电影色调合成
蜜蜂优课,878人购买,¥977.22,课程4,【坤哥物理】高二下期全套含3-3  电磁感应动量热学
"涵品教育,认证",591人最近报名,免费,共1节,PS/PS淘宝美工/ps基础/新手入门/产品精修/调色思路/精修方法
咕泡教育,551人最近报名,免费,进度：3/3节,Go语言Golang入门至高级/micro/channel/goroutine/PHP区块链咕泡
"图灵学院,认证",514人最近报名,免费,共7节,深入理解内存模型与多线程结果-jvm模型
拓薪教育,542人购买,¥8777.22,共67节,Java分布式互联网架构/微服务/高性能/springboot/springcloud
"逻辑教育,认证",14人最近报名,免费,共7节,HOOK原理解析
咕泡教育,90人最近报名,免费,共21节,软件测试Python/性能/接口/安全/自动化软件测试零到精通【咕泡】
深圳学立行教育科技有限公司,0人购买,¥9222.22,课程7,2Ｄ/3Ｄ/ＡＦ/ＤＦ包
杭州驭宝网络技术有限公司,167人最近报名,免费,进度：7/10节,【驭宝电商】高效打造单品爆款，专注淘内免费流量运营十年
言传声教,786人最近报名,免费,进度：6/9节,法语零基础入门进阶课堂
云艺帆教育,3976人购买,¥3962.22,进度：3/5节,CAD家具设计实战（室内板式定制家具衣柜橱柜酒柜-测量拆单报价）
方谊华,39人最近报名,免费,共1节,电气设计提高班
北京朴易教育科技有限公司,7人购买,¥5571.22,课程2,中考高考高分必备语法
方谊华,94人最近报名,免费,共1节,电气工程师-电工-二建培训班
大圣老师,71人最近报名,免费,共5节,【知守消防】【2020公开课】一级注册消防工程师免费0基础学习
"米你课堂,认证",18人最近报名,免费,共9节,7天挑战设计集训营
中艺影像,8670人购买,¥17.22,共6节,【摄影】人像摄影构图及应用/田德友/录播/中艺
"图灵学院,认证",41人最近报名,免费,共5节,区块链 - 比特币挖矿是怎么回事？
声思文化教育发展有限公司,079人购买,¥776.22,共47节,声思英语VIP课程
"图灵学院,认证",539人最近报名,免费,共6节,Alibaba双十一万亿级消息中间件RocketMQ实战
"涵品教育,认证",550人最近报名,免费,共1节,PS/PS淘宝美工/新手入门/抠图技巧/基础操作/思路讲解/抠图教程
"图灵学院,认证",552人最近报名,免费,共5节,双十一电商秒杀系统性能优化实战
"柠檬班,认证",550人购买,¥53622,开设3个班级,python高级软件测试开发第1-3期【柠檬班VIP】
"图灵学院,认证",587人最近报名,免费,共6节,分布式专题-亿级流量商品详情静态化与多级缓存实战【图灵学院】
"新盟教育,认证",30人最近报名,免费,共14节,HuaWei R-S
"原画人在线学院,认证",56人购买,¥9172.22,进度：8/10节,原画人美宣插画7期【本命虎】
享学课堂,11人最近报名,免费,共1节,Spring Cloud微服务实战直播答疑
"图灵学院,认证",531人最近报名,免费,共4节,基于docker构建MySQL集群
云艺帆教育,8838人购买,¥3162.22,共6节,正式-室外建筑表现建筑设计-效果图3dmax+Photoshop渲染后期VIP班
云艺帆教育,567人最近报名,免费,共13节,c4d电商实战/c4d电商设计/C4D电商装修/首页设计
"齐论教育,认证",853人最近报名,免费,共5节,【爆款】新店如何快速赚钱 零基础操作淘宝开店运营技巧【齐论】
扣丁学堂,36人购买,¥4362.22,共82节,网络安全/服务安全/代码安全/渗透测试【千锋教育】
"原画人在线学院,认证",469人最近报名,免费,共45节,日韩插画/漫画/素描：头像人体服装设计/小白课堂【原画人玄璃】
"张工教育,认证",348人最近报名,免费,共51节,注册岩土工程师专业考试免费公开课
柠檬学院,限时,¥2.77,开设3个班级,PS设计课-3节直播（粉丝福利）
"张工教育,认证",898人最近报名,免费,共20节,注册电气工程师（供配电）专业考试免费公开课
"太阁IT认证中心,认证",153人最近报名,免费,共29节,六IE认证专家 闫辉 教你真正的CCNA全套课程/CCNP/CCIE
北京跨学网教育科技有限公司,7人购买,¥347.22,课程2,高二物理同步精讲
云艺帆教育,891人最近报名,免费,共20节,零基础学CAD制图 60天独立出图
"松勤软件测试,认证",161人最近报名,免费,共17节,【松勤】软件测试从基础到高级全栈课程
三文猫,08人购买,¥9362.22,课程2,0-N2精讲班【三文猫】
晨露课堂,050人最近报名,免费,共8节,2020高考生物极速提升满分攻略--宿阳
"原画人在线学院,认证",512人最近报名,免费,共27节,CG游戏原画绘画：头像五官基础理论上色/菜鸟必学【原画人荣荣】
武百分教育,3286人购买,¥77.22,共11节,武百分2020执业/助理医师资格考试消化系统考点精讲
"六星教育,认证",021人最近报名,免费,共37节,Java零基础入门到精通/JavaWEB开发/Java全栈开发【六星教育】
"新盟教育,认证",5562人最近报名,免费,共33节,木泉boss-Linux高级架构师 挑战30W年薪 运维/集群/云计算
【智能社】在线课堂,1人购买,¥5976.22,课程2,【智能社】精通vue.js开发-第二期
云艺帆教育,5311人最近报名,免费,进度：3/3节,Office办公软件商务文秘必学，WPS-Word-Excel-PPT（函数表格）
西瓜商学院,8468人购买,¥8762.22,共9节,西瓜爆款特训营——年度版
云艺帆教育,533人最近报名,免费,共22节,UG编程实战 产品零件及模具UG数控编程入门到精通
"松勤软件测试,认证",809人最近报名,免费,共6节,Jmeter性能测试实战（试听课）
"原画人在线学院,认证",023人最近报名,免费,共43节,ps美术原画设计/绘画：同人线稿动漫设计/入门课堂【原画人荣荣】
"山本教育,认证",380人购买,¥8662.22,共7节,女神情感课堂-山本情感恋爱学堂VIP会员课程
武百分教育,334人最近报名,免费,共8节,2019临床执业医师/助理医师心血管系统
原画人在线学院,573人最近报名,免费,共1节,原画人SAI教程
