course_link,course_name,course_number,course_organization,course_price,course_status
,,394人购买,魔贝课凡,¥8777.22,课程11
//ke.qq.com/course/259274,【直播】京东关键词排名提升上首页 快车霸屏内容营销【齐论】,337人最近报名,,免费,共3节
//ke.qq.com/course/160102,淘宝爆款批量复制【直播】，0基础速爆流量  搜索直通车运营教学,5587人最近报名,,免费,共8节
,,76人购买,画境CG学园,¥5276.22,课程2
//ke.qq.com/course/353889,C语言/C++语言/数据结构算法/MFC/QT【六星教育】,406人最近报名,,免费,共20节
//ke.qq.com/course/201293,游戏原画/角色原画/场景原画/零基础30天入门/总监一对一带你学,74人最近报名,米你课堂,免费,共12节
,,57人购买,乐心教育,¥522.22,进度：7/7节
//ke.qq.com/course/310623,【北京峰源注册消防】（2019年注册消防考试免费直播公开课）,15人最近报名,,免费,共37节
//ke.qq.com/course/324504,免费 摄影后期/影楼 精修 调色 风景 人像 合成 商业修图--聚心恒,306人最近报名,,免费,共44节
,,6999人最近报名,闪电课堂,免费,共5节
,,38人购买,转折点教育,¥5977.22,课程3
//ke.qq.com/course/473384,性能调优专题-Java虚拟机性能调优与底层原理分析,548人最近报名,,免费,共6节
,,4人购买,光影学院,¥0362.22,课程4
,,024人最近报名,张树元,免费,进度：13/14节
//ke.qq.com/course/448314,2020国考行测冲刺课,397人购买,,¥122.22,共63节
,,022人最近报名,赵海文,免费,进度：17/24节
,,048人最近报名,,免费,共5节
,,7人购买,【智能社】在线课堂,¥5976.22,课程2
//ke.qq.com/course/128054,【北京峰源】土建工程造价（招投标预结算 识图 手算 广联达GTJ）,907人最近报名,,免费,进度：11/11节
,,394人最近报名,,免费,共1节
//ke.qq.com/course/305534,平面设计大师班,8910人购买,,¥3862.22,随到随学
//ke.qq.com/course/422626,独立音乐人训练—编曲（音乐制作）公开直播课,3016人最近报名,乐才派,免费,进度：1/1节
,,8118人最近报名,e学苑在线教育,免费,共7节
//ke.qq.com/course/436559,Zookeeper集群原理【图灵学院】,541人最近报名,,免费,共5节
,,523人最近报名,,免费,共7节
,,5692人最近报名,动脑学院,免费,进度：16/17节
//ke.qq.com/course/302105,平面实战高薪就业班（高级班）,8602人购买,,¥3122.22,随到随学
,,808人最近报名,牛耳教育,免费,进度：13/13节
,,500人最近报名,,免费,共6节
//ke.qq.com/course/107851,EXCEL高级函数班，职场必备技能（办公软件、制作表格）,344人最近报名,云艺帆教育,免费,进度：1/4节
,,976人最近报名,源码学院,免费,共30节
//ke.qq.com/course/196123,UI UE 设计 PS APP设计 网页设计 交互设计 AE动效 网页代码,511人最近报名,,免费,共4节
,,035人最近报名,,免费,共1节
,,8694人购买,中艺影像,¥17.22,共10节
//ke.qq.com/course/74180,ps淘宝美工/首页设计/合成海报/电商C4D/淘宝装修网店设计/ps美工,604人最近报名,,免费,共5节
//ke.qq.com/course/167138,Rhino犀牛工业设计产品建模基础快速入门【卓尔谟教育】,315人最近报名,,免费,共9节
,,30人购买,东湖教育,¥0662.22,课程4
,,539人购买,腾讯课堂NEXT学院,¥0377.22,共117节
//ke.qq.com/course/317984#term_id=100275850,UI设计进阶/小白学UI/0-3年设计进阶必修课/UI特训营体验课,861人最近报名,知行一教育,免费,共12节
,,819人最近报名,鼎智传承YESLAB网络培训,免费,共17节
//ke.qq.com/course/185589#term_id=100275850,智源教育SVIP专享-电商美工实战特训【飞速跨越孵化班】,4269人购买,,¥3162.22,共14节
//ke.qq.com/course/422645#term_id=100275850,Java开发/大数据/微服务/SpringBoot/SSM框架/mysql数据库/分布式,037人最近报名,灵犀教育,免费,共66节
//ke.qq.com/course/546324,中考“一轮”复习夯实基础直播课,5522人最近报名,涛哥数学,免费,进度：6/8节
,,3255人最近报名,建匠教育,免费,进度：7/16节
//ke.qq.com/course/402842,产品设计C4D商业渲染班/高级产品商业渲染【卓尔谟教育】,00人购买,,¥0222.22,开设2个班级
,,873人最近报名,尚政公考,免费,进度：7/17节
,,86人购买,弦韵未来,¥76.22,课程5
,,147人最近报名,动脑学院,免费,进度：7/8节
//ke.qq.com/course/130956,【自媒体每天1小时】2019自媒体/新媒体/抖音内部玩法揭秘,543人最近报名,斯雁教育,免费,共16节
//ke.qq.com/course/440119,Axure原型实战班（系统学习最新的Axure9.0，已有5000+同学学习）,097人购买,,¥077.22,共87节
,,127人最近报名,小军师教育,免费,共40节
,,3866人最近报名,研定专硕,免费,共10节
,,8人购买,优梯教育,¥5362.22,共3节
,,38人最近报名,新任帮主,免费,共24节
//ke.qq.com/course/465216,抖音教程新媒体营销短视频运营实战技巧,984人最近报名,山本教育,免费,共1节
//ke.qq.com/course/438252,牙典教育-2020口腔执业/助理医师vip基础精讲班,5505人购买,,¥5362.22,共17节
//ke.qq.com/course/200025,【免费】Excel教程 excel零基础 高效职场办公 实战速成 [朱仕平],8436人最近报名,朱仕平,免费,共15节
,,4人购买,杭州慕联教育科技有限公司,¥521.22,课程2
//ke.qq.com/course/30961,日本语从零基础发音入门，动漫、留学、高考、考研【蓝轨迹日语】,8356人最近报名,蓝轨迹,免费,共13节
//ke.qq.com/course/284246,【2020中级会计师3科】中级会计职称 初级会计师 CPA注册会计师,865人最近报名,一品老殷会计课,免费,共10节
,,68人购买,生物岳老师,¥5077.22,课程4
//ke.qq.com/course/143479,【佲嘉】室内设计方案公开课（方案优化/立面思维/CAD/Sketch up),948人最近报名,佲嘉设计教育,免费,共7节
//ke.qq.com/course/458503,高中数学成绩还在中低层徘徊？这样高考可不行！,4416人最近报名,王羽课堂,免费,共56节
,,750人购买,蜜蜂优课,¥3762.22,课程6
//ke.qq.com/course/208620,AE+C4D影视后期特效 广告栏目包装短视频制作 PR剪辑平面电商设计,5480人最近报名,木客教育,免费,共21节
//ke.qq.com/course/76310,高级女装结构与版型系统工程技术体验课/服装制版【艺服教育】,184人最近报名,艺服教育,免费,共16节
,,3969人最近报名,晨露课堂,免费,共6节
//ke.qq.com/course/134875,【北京峰源】安装工程造价（水电暖消防 招投标预算结算 广联达）,687人最近报名,,免费,进度：18/18节
//ke.qq.com/course/447548,分布式架构-Redis高并发分布式锁,371人最近报名,,免费,共5节
,,0人购买,峰源教育,¥0277.22,课程3
,,340人最近报名,SPOTO思博网络,免费,共49节
//ke.qq.com/course/297648,AE影视后期设计班  0基础精通AE系统课程 MG动画实战教学,5816人购买,木客教育,¥3222.22,随到随学
,,5365人最近报名,特肯教育,免费,进度：12/13节
//ke.qq.com/course/147497,Excel2013从入门到精通 实用技巧 函数公式 透视表【云财网校】,961人最近报名,云财网校,免费,共30节
//ke.qq.com/course/241719,3D次世代游戏模型设计,321人最近报名,三户人,免费,共10节
//ke.qq.com/course/397734#term_id=100275850,AI/CDR/PS/版式/字体/设计思维/色彩/包装/画册-平面设计进阶实战,3236人最近报名,红动优学教育,免费,进度：9/10节
//ke.qq.com/course/466168#term_id=100275850,Python全栈开发/爬虫/人工智能/机器学习/数据分析【七期就业班】,88人购买,扣丁学堂,¥4362.22,共55节
//ke.qq.com/course/460622#term_id=100275850,高中数学成绩轻松提高80+，名校更近一步！,3608人最近报名,王羽课堂,免费,共16节
,,508人最近报名,三户人,免费,共8节
//ke.qq.com/course/348893#term_id=100513744,中高级测试开发「名企定向培养」班-霍格沃兹测试学院,889人购买,霍格沃兹测试学院,¥52222,共47节
//ke.qq.com/course/218874#term_id=100513744,零基础安装工程造价/给排水/强电弱电/广联达GQI/GCCP5//施工工艺,909人最近报名,起步造价实操,免费,共8节
//ke.qq.com/course/291162#term_id=100513744,【2020CPA6科】注册会计师 注会会计 中级会计师 初级会计师,133人最近报名,一品老殷会计课,免费,共15节
//ke.qq.com/course/416859#term_id=100497369,2019年中级财务管理精讲班,8056人购买,,免费,共22节
